FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R1234YF,R152A,0.66526,0.33474,294.998,10.116,601.799,0.055,0.001,0.002,0.019,14,10,2022 row per 1,1,10116000,-6.473434180373479,14722.761485608231
R1234YF,R152A,0.66526,0.33474,284.998,1.082,554.992,0.07,0.001,0.001,0.015,16,12,2022 row per 1,1,1082000,-6.321501722124986,14553.67497769952
R1234YF,R152A,0.66526,0.33474,290.001,3.963,563.426,0.066,0.001,0.0,0.003,13,9,2022 row per 1,1,3963000,-6.397552838039543,14519.944930365593
R1234YF,R152A,0.66526,0.33474,294.998,6.851,571.704,0.062,0.001,0.002,0.018,16,12,2022 row per 1,1,6851000,-6.473434180373479,14489.702242907137
R1234YF,R152A,0.66526,0.33474,299.999,9.742,579.75,0.059,0.002,0.001,0.011,14,10,2022 row per 1,1,9742000,-6.549273976321785,14461.929203052287
R1234YF,R152A,0.66526,0.33474,290.0,1.026,531.006,0.076,0.001,0.001,0.008,16,12,2022 row per 1,1,1026000,-6.397537644027227,526.6024375052526
R1234YF,R152A,0.66526,0.33474,294.997,3.769,539.786,0.071,0.001,0.001,0.01,12,9,2022 row per 1,1,3769000,-6.4734190044116025,14234.011213238759
R1234YF,R152A,0.66526,0.33474,299.999,6.519,548.291,0.067,0.001,0.0,0.004,16,12,2022 row per 1,1,6519000,-6.549273976321785,14206.27133889204
R1234YF,R152A,0.66526,0.33474,304.997,9.267,556.503,0.063,0.001,0.0,0.007,14,10,2022 row per 1,1,9267000,-6.62494162706526,14180.81601613671
R1234YF,R152A,0.66526,0.33474,294.995,1.115,508.591,0.083,0.001,0.001,0.015,16,12,2022 row per 1,1,1115000,-6.473388652475583,565.478022490467
R1234YF,R152A,0.66526,0.33474,299.996,3.725,517.584,0.078,0.003,0.002,0.013,16,12,2022 row per 1,1,3725000,-6.54922851706752,13945.640949846418
R1234YF,R152A,0.66526,0.33474,304.997,6.342,526.285,0.072,0.001,0.001,0.014,16,12,2022 row per 1,1,6342000,-6.62494162706526,13921.14924333491
R1234YF,R152A,0.66526,0.33474,309.999,8.958,534.652,0.068,0.001,0.001,0.011,12,8,2022 row per 1,1,8958000,-6.700518072058758,13898.448190285357
R1234YF,R152A,0.66526,0.33474,299.995,1.325,487.627,0.091,0.001,0.001,0.017,13,9,2022 row per 1,1,1325000,-6.5492133639726315,684.6576993175509
R1234YF,R152A,0.66526,0.33474,304.996,3.806,496.788,0.084,0.001,0.0,0.004,15,11,2022 row per 1,1,3806000,-6.624926501800349,13654.441915954534
R1234YF,R152A,0.66526,0.33474,309.998,6.298,505.648,0.078,0.001,0.001,0.006,16,12,2022 row per 1,1,6298000,-6.700502979672584,13633.92028157676
R1234YF,R152A,0.66526,0.33474,314.994,8.789,514.152,0.073,0.002,0.001,0.008,15,11,2022 row per 1,1,8789000,-6.7758119443204565,13615.108428590775
R1234YF,R152A,0.66526,0.33474,304.994,1.369,464.227,0.102,0.002,0.001,0.014,16,12,2022 row per 1,1,1369000,-6.6248962512523315,688.2561583281339
R1234YF,R152A,0.66526,0.33474,309.998,3.725,473.733,0.093,0.001,0.001,0.015,11,8,2022 row per 1,1,3725000,-6.700502979672584,13324.688989961249
R1234YF,R152A,0.66526,0.33474,314.993,6.084,482.824,0.086,0.002,0.001,0.008,16,12,2022 row per 1,1,6084000,-6.775796889851539,13310.08932160716
R1234YF,R152A,0.66526,0.33474,320.004,8.452,491.538,0.08,0.001,0.002,0.023,13,9,2022 row per 1,1,8452000,-6.851128861854764,13296.27891934872
R1234YF,R152A,0.66526,0.33474,309.996,1.617,443.534,0.113,0.001,0.001,0.004,12,8,2022 row per 1,1,1617000,-6.700472794878994,831.8187491358954
R1234YF,R152A,0.66526,0.33474,314.993,3.849,453.245,0.103,0.002,0.001,0.011,6,3,2022 row per 1,1,3849000,-6.775796889851539,12999.492664948435
R1234YF,R152A,0.66526,0.33474,320.003,6.09,462.466,0.094,0.001,0.001,0.013,16,12,2022 row per 1,1,6090000,-6.851113850534847,12991.218872574236
R1234YF,R152A,0.66526,0.33474,325.007,8.351,471.467,0.087,0.002,0.003,0.019,11,7,2022 row per 1,1,8351000,-6.926112056605908,12985.608717751935
R1234YF,R152A,0.66526,0.33474,314.991,1.659,419.505,0.128,0.002,0.002,0.026,13,9,2022 row per 1,1,1659000,-6.775766780889399,827.8212115256416
R1234YF,R152A,0.66526,0.33474,320.002,3.757,429.408,0.116,0.001,0.003,0.028,14,10,2022 row per 1,1,3757000,-6.851098839205808,12608.093442209047
R1234YF,R152A,0.66526,0.33474,325.008,5.845,438.604,0.106,0.001,0.002,0.014,16,12,2022 row per 1,1,5845000,-6.926127019733411,12607.81002665202
R1234YF,R152A,0.66526,0.33474,329.999,7.97,447.762,0.097,0.002,0.001,0.022,10,6,2022 row per 1,1,7970000,-7.000677556232517,12612.27912639921
R1234YF,R152A,0.66526,0.33474,320.0,1.69,394.593,0.149,0.001,0.0,0.007,14,10,2022 row per 1,1,1690000,-6.851068816520361,817.3890509518932
R1234YF,R152A,0.66526,0.33474,325.007,3.656,404.846,0.133,0.001,0.0,0.005,12,8,2022 row per 1,1,3656000,-6.926112056605908,12162.831978595399
R1234YF,R152A,0.66526,0.33474,329.999,5.625,414.475,0.121,0.002,0.002,0.02,13,9,2022 row per 1,1,5625000,-7.000677556232517,12184.576625867918
R1234YF,R152A,0.66526,0.33474,335.003,7.587,423.381,0.11,0.001,0.001,0.013,10,6,2022 row per 1,1,7587000,-7.0751438724040865,12196.722075368427
R1234YF,R152A,0.66526,0.33474,325.006,2.087,376.15,0.166,0.001,0.0,0.006,10,6,2022 row per 1,1,2087000,-6.92609709346827,1057.5650336070764
R1234YF,R152A,0.66526,0.33474,329.998,3.941,386.522,0.148,0.001,0.0,0.006,10,6,2022 row per 1,1,3941000,-7.000662646190911,11759.723854081163
R1234YF,R152A,0.66526,0.33474,335.003,5.793,396.02,0.133,0.001,0.0,0.008,15,11,2022 row per 1,1,5793000,-7.0751438724040865,11799.916527583198
R1234YF,R152A,0.66526,0.33474,340.008,7.662,405.17,0.121,0.001,0.0,0.005,14,10,2022 row per 1,1,7662000,-7.149321704886728,11830.886184087127
R1234YF,R152A,0.66526,0.33474,329.996,1.939,346.058,0.206,0.001,0.0,0.001,3,2,2022 row per 1,1,1939000,-7.000632826074301,915.8591016916469
R1234YF,R152A,0.66526,0.33474,335.003,3.635,356.718,0.181,0.0,0.0,0.012,6,4,2022 row per 1,1,3635000,-7.0751438724040865,11047.01969017213
R1234YF,R152A,0.66526,0.33474,340.007,5.349,366.759,0.16,0.001,0.0,0.002,10,6,2022 row per 1,1,5349000,-7.149306916048901,11166.351754560323
R1234YF,R152A,0.66526,0.33474,345.013,7.07,376.186,0.144,0.001,0.0,0.003,10,6,2022 row per 1,1,7070000,-7.223172208474852,11242.1686720433
R1234YF,R152A,0.66526,0.33474,335.001,2.211,324.317,0.241,0.002,0.0,0.001,7,4,2022 row per 1,1,2211000,-7.075114168654256,1058.298161677249
R1234YF,R152A,0.66526,0.33474,340.007,3.804,335.468,0.209,0.001,0.0,0.001,5,3,2022 row per 1,1,3804000,-7.149306916048901,8861.419662925742
R1234YF,R152A,0.66526,0.33474,345.013,5.407,345.717,0.183,0.001,0.0,0.002,11,7,2022 row per 1,1,5407000,-7.223172208474852,10572.893812981827
R1234YF,R152A,0.66526,0.33474,340.007,2.757,309.915,0.266,0.001,0.0,0.0,2,1,2022 row per 1,1,2757000,-7.149306916048901,1409.6757882208508
R1234YF,R152A,0.66526,0.33474,345.013,4.263,320.625,0.229,0.0,0.0,0.0,2,1,2022 row per 1,1,4263000,-7.223172208474852,9604.454773022024
R1234ZEE,R227EA,0.33265,0.66735,230.01,0.37,736.854,0.04,0.017,0.001,0.012,16,12,2022 row per 1,1,370000,-7.352872203771952,13644.51991421839
R1234ZEE,R227EA,0.33265,0.66735,235.012,0.457,715.381,0.041,0.001,0.0,0.158,16,12,2022 row per 1,1,457000,-7.468779118638384,13495.068543997626
R1234ZEE,R227EA,0.33265,0.66735,240.001,0.462,693.456,0.043,0.002,0.001,0.066,16,12,2022 row per 1,1,462000,-7.58360010671709,13340.60366225342
R1234ZEE,R227EA,0.33265,0.66735,245.003,0.469,671.697,0.044,0.001,0.001,0.033,16,12,2022 row per 1,1,469000,-7.697926698818927,13182.470897830523
R1234ZEE,R227EA,0.33265,0.66735,250.004,0.465,650.038,0.046,0.001,0.008,0.075,16,12,2022 row per 1,1,465000,-7.811431728525772,13020.316599860234
R1234ZEE,R227EA,0.33265,0.66735,254.995,0.458,628.53,0.048,0.001,0.0,0.044,16,12,2022 row per 1,1,458000,-7.9239107716545405,12854.30884867108
R1234ZEE,R227EA,0.33265,0.66735,259.987,0.471,607.244,0.051,0.002,0.0,0.004,16,12,2022 row per 1,1,471000,-8.035611841005592,12684.631296452531
R1234ZEE,R227EA,0.33265,0.66735,269.992,3.351,588.48,0.052,0.002,0.001,0.004,16,12,2022 row per 1,1,3351000,-8.257065761617527,12468.808240458076
R1234ZEE,R227EA,0.33265,0.66735,274.995,6.712,594.842,0.05,0.002,0.005,0.037,16,12,2022 row per 1,1,6712000,-8.366588755337892,12452.663987850417
R1234ZEE,R227EA,0.33265,0.66735,279.999,10.082,601.219,0.049,0.001,0.006,0.045,16,12,2022 row per 1,1,10082000,-8.47531885085237,12437.989447715723
R1234ZEE,R227EA,0.33265,0.66735,285.0,13.433,607.453,0.047,0.0,0.009,0.057,16,12,2022 row per 1,1,13433000,-8.58316521564089,12423.691050992364
R1234ZEE,R227EA,0.33265,0.66735,290.002,16.668,612.912,0.046,0.001,0.011,0.075,16,12,2022 row per 1,1,16668000,-8.690209302215658,12405.815150373877
R1234ZEE,R227EA,0.33265,0.66735,294.997,19.952,618.719,0.045,0.001,0.013,0.081,16,12,2022 row per 1,1,19952000,-8.79627524261755,12391.36725393629
R1234ZEE,R227EA,0.33265,0.66735,299.998,23.21,624.352,0.044,0.002,0.015,0.091,16,12,2022 row per 1,1,23210000,-8.90163238206096,12376.904242008997
R1234ZEE,R227EA,0.33265,0.66735,304.997,26.42,629.72,0.043,0.002,0.019,0.112,16,12,2022 row per 1,1,26420000,-9.006103529533613,12361.870627730685
R1234ZEE,R227EA,0.33265,0.66735,309.999,29.616,635.014,0.042,0.002,0.018,0.104,16,12,2022 row per 1,1,29616000,-9.109784679814728,12347.414520357624
R1234ZEE,R227EA,0.33265,0.66735,314.994,32.783,640.188,0.041,0.003,0.017,0.09,16,12,2022 row per 1,1,32783000,-9.212460893902117,12333.235498202777
R1234ZEE,R227EA,0.33265,0.66735,320.005,35.925,645.228,0.041,0.002,0.016,0.086,16,12,2022 row per 1,1,35925000,-9.31459358024236,12318.906208739441
R1234ZEE,R227EA,0.33265,0.66735,325.01,39.103,650.484,0.04,0.001,0.005,0.026,16,12,2022 row per 1,1,39103000,-9.415722491127402,12306.96021663235
R1234ZEE,R227EA,0.33265,0.66735,330.0,42.303,655.888,0.039,0.001,0.0,0.002,16,12,2022 row per 1,1,42303000,-9.515662072045545,12296.975861914338
R1234ZEE,R227EA,0.33265,0.66735,335.003,45.456,661.009,0.039,0.001,0.004,0.02,16,12,2022 row per 1,1,45456000,-9.614964444843102,12286.04735149285
R1234ZEE,R227EA,0.33265,0.66735,340.008,48.628,666.238,0.039,0.003,0.001,0.005,16,12,2022 row per 1,1,48628000,-9.71339821072673,12276.48699905286
R1234ZEE,R227EA,0.33265,0.66735,274.991,3.582,570.384,0.055,0.002,0.001,0.008,16,12,2022 row per 1,1,3582000,-8.36650151431653,12305.677238843731
R1234ZEE,R227EA,0.33265,0.66735,279.996,6.857,577.23,0.052,0.002,0.001,0.006,16,12,2022 row per 1,1,6857000,-8.47525390989932,12292.593992195372
R1234ZEE,R227EA,0.33265,0.66735,284.997,10.129,583.989,0.05,0.001,0.002,0.012,16,12,2022 row per 1,1,10129000,-8.583100767068467,12280.400482247851
R1234ZEE,R227EA,0.33265,0.66735,289.999,13.388,590.579,0.049,0.001,0.002,0.016,16,12,2022 row per 1,1,13388000,-8.690145349564192,12268.506972967938
R1234ZEE,R227EA,0.33265,0.66735,294.995,16.634,597.034,0.047,0.002,0.002,0.011,16,12,2022 row per 1,1,16634000,-8.796232940325371,12257.17108509689
R1234ZEE,R227EA,0.33265,0.66735,299.997,19.861,603.311,0.046,0.001,0.005,0.03,16,12,2022 row per 1,1,19861000,-8.90161139898345,12245.807850737505
R1234ZEE,R227EA,0.33265,0.66735,304.996,23.08,609.489,0.045,0.001,0.003,0.019,16,12,2022 row per 1,1,23080000,-9.006082716033793,12235.152468485368
R1234ZEE,R227EA,0.33265,0.66735,309.998,26.28,615.51,0.044,0.001,0.003,0.019,16,12,2022 row per 1,1,26280000,-9.109764037693063,12224.593099087651
R1234ZEE,R227EA,0.33265,0.66735,314.994,29.441,621.288,0.043,0.001,0.004,0.019,16,12,2022 row per 1,1,29441000,-9.212460893902117,12213.637789787326
R1234ZEE,R227EA,0.33265,0.66735,320.002,32.633,627.193,0.042,0.003,0.002,0.01,16,12,2022 row per 1,1,32633000,-9.314532698401974,12204.416644990994
R1234ZEE,R227EA,0.33265,0.66735,325.008,35.791,632.893,0.041,0.001,0.002,0.01,16,12,2022 row per 1,1,35791000,-9.415682257157748,12194.85996637168
R1234ZEE,R227EA,0.33265,0.66735,330.0,38.917,638.432,0.041,0.001,0.003,0.013,16,12,2022 row per 1,1,38917000,-9.515662072045545,12185.350986359315
R1234ZEE,R227EA,0.33265,0.66735,335.003,41.992,643.652,0.04,0.002,0.005,0.027,16,12,2022 row per 1,1,41992000,-9.614964444843102,12174.696635758619
R1234ZEE,R227EA,0.33265,0.66735,340.007,45.084,648.96,0.039,0.002,0.003,0.014,16,12,2022 row per 1,1,45084000,-9.713378634968217,12165.406225516299
R1234ZEE,R227EA,0.33265,0.66735,345.013,48.16,654.189,0.039,0.002,0.001,0.007,16,12,2022 row per 1,1,48160000,-9.810914749284976,12156.31806124606
R1234ZEE,R227EA,0.33265,0.66735,269.987,0.427,564.483,0.057,0.002,0.0,0.003,15,11,2022 row per 1,1,427000,-8.256955898113839,331.3554478138006
R1234ZEE,R227EA,0.33265,0.66735,274.99,0.887,547.357,0.06,0.001,0.003,0.026,16,12,2022 row per 1,1,887000,-8.366479703979843,12163.972378862081
R1234ZEE,R227EA,0.33265,0.66735,279.995,4.051,554.513,0.057,0.0,0.002,0.016,16,12,2022 row per 1,1,4051000,-8.475232262849541,12151.721538001828
R1234ZEE,R227EA,0.33265,0.66735,284.997,7.216,561.577,0.054,0.001,0.002,0.016,15,11,2022 row per 1,1,7216000,-8.583100767068467,12140.360306159962
R1234ZEE,R227EA,0.33265,0.66735,289.999,10.386,568.561,0.052,0.001,0.0,0.003,16,12,2022 row per 1,1,10386000,-8.690145349564192,12130.018440524358
R1234ZEE,R227EA,0.33265,0.66735,294.995,13.539,575.34,0.05,0.001,0.001,0.006,16,12,2022 row per 1,1,13539000,-8.796232940325371,12119.84786036948
R1234ZEE,R227EA,0.33265,0.66735,299.997,16.693,582.022,0.049,0.001,0.001,0.004,16,12,2022 row per 1,1,16693000,-8.90161139898345,12110.357783658741
R1234ZEE,R227EA,0.33265,0.66735,304.993,19.799,588.326,0.047,0.002,0.013,0.086,16,12,2022 row per 1,1,19799000,-9.006020275329798,12099.772229435766
R1234ZEE,R227EA,0.33265,0.66735,309.998,22.889,594.429,0.046,0.001,0.002,0.011,16,12,2022 row per 1,1,22889000,-9.109764037693063,12089.168986311903
R1234ZEE,R227EA,0.33265,0.66735,314.992,25.989,600.592,0.045,0.001,0.001,0.007,16,12,2022 row per 1,1,25989000,-9.21241995544791,12080.173288431984
R1234ZEE,R227EA,0.33265,0.66735,320.002,29.081,606.627,0.044,0.001,0.001,0.007,16,12,2022 row per 1,1,29081000,-9.314532698401974,12071.256659741075
R1234ZEE,R227EA,0.33265,0.66735,325.008,32.153,612.51,0.043,0.002,0.002,0.009,16,12,2022 row per 1,1,32153000,-9.415682257157748,12062.48167678957
R1234ZEE,R227EA,0.33265,0.66735,329.999,35.201,618.263,0.042,0.002,0.001,0.007,16,12,2022 row per 1,1,35201000,-9.515642133338341,12053.967342149579
R1234ZEE,R227EA,0.33265,0.66735,335.001,38.214,623.771,0.041,0.001,0.002,0.012,16,12,2022 row per 1,1,38214000,-9.61492492848955,12044.698215533774
R1234ZEE,R227EA,0.33265,0.66735,340.008,41.23,629.265,0.041,0.001,0.001,0.006,16,12,2022 row per 1,1,41230000,-9.71339821072673,12036.201668473606
R1234ZEE,R227EA,0.33265,0.66735,345.013,44.228,634.655,0.04,0.001,0.001,0.004,16,12,2022 row per 1,1,44228000,-9.810914749284976,12027.863444378218
R1234ZEE,R227EA,0.33265,0.66735,279.993,0.975,527.117,0.064,0.001,0.004,0.042,16,12,2022 row per 1,1,975000,-8.475188968651832,11976.970856470585
R1234ZEE,R227EA,0.33265,0.66735,284.995,3.998,534.468,0.06,0.001,0.001,0.006,16,12,2022 row per 1,1,3998000,-8.583057801188884,11966.295986195211
R1234ZEE,R227EA,0.33265,0.66735,289.998,7.035,541.78,0.057,0.001,0.001,0.006,15,11,2022 row per 1,1,7035000,-8.690124031947354,11956.945169199918
R1234ZEE,R227EA,0.33265,0.66735,294.994,10.056,548.846,0.055,0.001,0.001,0.005,16,12,2022 row per 1,1,10056000,-8.796211789129105,11947.588850193923
R1234ZEE,R227EA,0.33265,0.66735,299.996,13.128,556.122,0.053,0.001,0.008,0.069,16,12,2022 row per 1,1,13128000,-8.901590415872178,11941.306381795452
R1234ZEE,R227EA,0.33265,0.66735,304.995,16.175,563.142,0.051,0.002,0.002,0.017,16,12,2022 row per 1,1,16175000,-9.006061902499885,11934.417460539667
R1234ZEE,R227EA,0.33265,0.66735,309.997,19.195,569.825,0.049,0.001,0.001,0.007,16,12,2022 row per 1,1,19195000,-9.10974339553696,11926.79716380168
R1234ZEE,R227EA,0.33265,0.66735,314.993,22.2,576.331,0.048,0.002,0.002,0.014,16,12,2022 row per 1,1,22200000,-9.212440424692412,11919.373458842214
R1234ZEE,R227EA,0.33265,0.66735,320.003,25.195,582.666,0.046,0.001,0.0,0.004,16,12,2022 row per 1,1,25195000,-9.314552992383938,11911.83630764711
R1234ZEE,R227EA,0.33265,0.66735,325.007,28.171,588.824,0.045,0.001,0.002,0.016,16,12,2022 row per 1,1,28171000,-9.415662140119611,11904.380635607245
R1234ZEE,R227EA,0.33265,0.66735,329.999,31.12,594.794,0.044,0.001,0.002,0.011,16,12,2022 row per 1,1,31120000,-9.515642133338341,11896.847995627897
R1234ZEE,R227EA,0.33265,0.66735,335.002,34.026,600.428,0.043,0.003,0.002,0.012,16,12,2022 row per 1,1,34026000,-9.61494468668446,11888.069519530076
R1234ZEE,R227EA,0.33265,0.66735,340.008,36.936,606.064,0.043,0.002,0.0,0.004,16,12,2022 row per 1,1,36936000,-9.71339821072673,11880.143477614829
R1234ZEE,R227EA,0.33265,0.66735,345.013,39.848,611.666,0.042,0.0,0.001,0.002,16,12,2022 row per 1,1,39848000,-9.810914749284976,11873.022206859367
R1234ZEE,R227EA,0.33265,0.66735,284.994,0.925,505.597,0.069,0.001,0.001,0.004,16,12,2022 row per 1,1,925000,-8.583036318199701,11773.916716771895
R1234ZEE,R227EA,0.33265,0.66735,289.997,3.8,513.115,0.065,0.001,0.001,0.006,14,10,2022 row per 1,1,3800000,-8.690102714297344,11764.876675266156
R1234ZEE,R227EA,0.33265,0.66735,294.993,6.684,520.55,0.061,0.001,0.0,0.003,15,11,2022 row per 1,1,6684000,-8.796190637899384,11757.038386003009
R1234ZEE,R227EA,0.33265,0.66735,299.994,9.524,527.427,0.059,0.001,0.004,0.033,16,12,2022 row per 1,1,9524000,-8.901548449548361,11746.918217795426
R1234ZEE,R227EA,0.33265,0.66735,304.994,12.394,534.416,0.056,0.001,0.001,0.008,15,11,2022 row per 1,1,12394000,-9.006041088931887,11739.254293742757
R1234ZEE,R227EA,0.33265,0.66735,309.997,15.271,541.336,0.054,0.001,0.001,0.005,16,12,2022 row per 1,1,15271000,-9.10974339553696,11732.484135947883
R1234ZEE,R227EA,0.33265,0.66735,314.992,18.133,548.043,0.052,0.002,0.001,0.005,16,12,2022 row per 1,1,18133000,-9.21241995544791,11725.792632752347
R1234ZEE,R227EA,0.33265,0.66735,320.002,20.996,554.616,0.05,0.002,0.001,0.005,16,12,2022 row per 1,1,20996000,-9.314532698401974,11719.339547555139
R1234ZEE,R227EA,0.33265,0.66735,325.008,23.843,561.004,0.049,0.001,0.001,0.003,15,11,2022 row per 1,1,23843000,-9.415682257157748,11712.878379011836
R1234ZEE,R227EA,0.33265,0.66735,329.999,26.667,567.19,0.047,0.002,0.001,0.006,16,12,2022 row per 1,1,26667000,-9.515642133338341,11706.420469949486
R1234ZEE,R227EA,0.33265,0.66735,335.005,29.464,573.113,0.046,0.004,0.002,0.014,16,12,2022 row per 1,1,29464000,-9.615003961051585,11699.032614231313
R1234ZEE,R227EA,0.33265,0.66735,340.007,32.254,578.937,0.045,0.001,0.001,0.006,16,12,2022 row per 1,1,32254000,-9.713378634968217,11692.149327792578
R1234ZEE,R227EA,0.33265,0.66735,345.013,35.038,584.687,0.044,0.004,0.001,0.007,16,12,2022 row per 1,1,35038000,-9.810914749284976,11685.582021561848
R1234ZEE,R227EA,0.33265,0.66735,289.996,0.986,485.096,0.074,0.001,0.001,0.004,16,12,2022 row per 1,1,986000,-8.690081396614158,11569.32552023136
R1234ZEE,R227EA,0.33265,0.66735,294.993,3.735,492.942,0.07,0.002,0.001,0.006,15,11,2022 row per 1,1,3735000,-8.796190637899384,11563.566109702431
R1234ZEE,R227EA,0.33265,0.66735,299.993,6.49,500.583,0.066,0.002,0.001,0.009,16,12,2022 row per 1,1,6490000,-8.901527466335814,11558.092595433793
R1234ZEE,R227EA,0.33265,0.66735,304.994,9.299,508.472,0.062,0.002,0.005,0.056,16,12,2022 row per 1,1,9299000,-9.006041088931887,11556.182779796269
R1234ZEE,R227EA,0.33265,0.66735,309.996,12.075,515.876,0.059,0.002,0.002,0.018,12,8,2022 row per 1,1,12075000,-9.109722753346418,11552.215677988468
R1234ZEE,R227EA,0.33265,0.66735,314.992,14.83,522.96,0.057,0.001,0.002,0.019,15,11,2022 row per 1,1,14830000,-9.21241995544791,11547.518726175318
R1234ZEE,R227EA,0.33265,0.66735,320.002,17.582,529.817,0.055,0.001,0.001,0.009,16,12,2022 row per 1,1,17582000,-9.314532698401974,11542.640921989376
R1234ZEE,R227EA,0.33265,0.66735,325.007,20.318,536.446,0.053,0.001,0.001,0.006,16,12,2022 row per 1,1,20318000,-9.415662140119611,11537.551780073332
R1234ZEE,R227EA,0.33265,0.66735,329.999,23.036,542.793,0.051,0.002,0.001,0.301,16,12,2022 row per 1,1,23036000,-9.515642133338341,11532.449522398692
R1234ZEE,R227EA,0.33265,0.66735,335.001,25.715,548.907,0.049,0.001,0.003,0.02,16,12,2022 row per 1,1,25715000,-9.61492492848955,11525.710945405759
R1234ZEE,R227EA,0.33265,0.66735,340.008,28.405,554.947,0.048,0.001,0.001,0.007,16,12,2022 row per 1,1,28405000,-9.71339821072673,11520.022967320145
R1234ZEE,R227EA,0.33265,0.66735,345.012,31.087,560.875,0.047,0.001,0.003,0.011,15,11,2022 row per 1,1,31087000,-9.810895357637282,11514.635690752975
R1234ZEE,R227EA,0.33265,0.66735,294.991,1.091,465.103,0.081,0.003,0.001,0.006,15,11,2022 row per 1,1,1091000,-8.796148335339588,11359.12979057481
R1234ZEE,R227EA,0.33265,0.66735,299.993,3.721,473.251,0.075,0.002,0.001,0.005,12,8,2022 row per 1,1,3721000,-8.901527466335814,11357.06649773382
R1234ZEE,R227EA,0.33265,0.66735,304.992,6.347,481.073,0.071,0.001,0.001,0.005,16,12,2022 row per 1,1,6347000,-9.005999461693625,11354.304140673039
R1234ZEE,R227EA,0.33265,0.66735,309.995,8.983,488.722,0.067,0.002,0.001,0.006,15,11,2022 row per 1,1,8983000,-9.109702111121441,11351.922824177027
R1234ZEE,R227EA,0.33265,0.66735,314.991,11.611,496.091,0.063,0.001,0.002,0.015,10,6,2022 row per 1,1,11611000,-9.212399486168605,11349.235136715693
R1234ZEE,R227EA,0.33265,0.66735,320.001,14.242,503.269,0.06,0.001,0.001,0.007,16,12,2022 row per 1,1,14242000,-9.314512404384844,11346.403810605181
R1234ZEE,R227EA,0.33265,0.66735,325.006,16.854,510.15,0.058,0.002,0.006,0.04,16,12,2022 row per 1,1,16854000,-9.415642023045935,11342.832040485038
R1234ZEE,R227EA,0.33265,0.66735,330.0,19.503,517.168,0.056,0.001,0.009,0.074,13,9,2022 row per 1,1,19503000,-9.515662072045545,11342.086815073217
R1234ZEE,R227EA,0.33265,0.66735,335.002,22.092,523.63,0.053,0.002,0.001,0.007,16,12,2022 row per 1,1,22092000,-9.61494468668446,11337.96831396524
R1234ZEE,R227EA,0.33265,0.66735,340.006,24.669,529.876,0.052,0.004,0.001,0.004,16,12,2022 row per 1,1,24669000,-9.713359059173087,11333.62180053244
R1234ZEE,R227EA,0.33265,0.66735,345.012,27.238,535.98,0.05,0.001,0.0,0.003,15,11,2022 row per 1,1,27238000,-9.810895357637282,11329.30262489368
R1234ZEE,R227EA,0.33265,0.66735,299.992,1.009,442.876,0.089,0.001,0.001,0.015,10,7,2022 row per 1,1,1009000,-8.90150648308951,580.1067831819706
R1234ZEE,R227EA,0.33265,0.66735,304.993,3.494,451.204,0.083,0.001,0.001,0.014,13,9,2022 row per 1,1,3494000,-9.006020275329798,11121.941277205515
R1234ZEE,R227EA,0.33265,0.66735,309.995,5.961,459.025,0.077,0.001,0.005,0.056,16,12,2022 row per 1,1,5961000,-9.109702111121441,11120.91184736187
R1234ZEE,R227EA,0.33265,0.66735,314.99,8.434,466.6,0.073,0.001,0.001,0.007,11,7,2022 row per 1,1,8434000,-9.212379016854506,11120.157421618222
R1234ZEE,R227EA,0.33265,0.66735,320.0,10.921,474.062,0.069,0.002,0.001,0.007,11,7,2022 row per 1,1,10921000,-9.314492110332548,11119.622485031003
R1234ZEE,R227EA,0.33265,0.66735,325.007,13.407,481.315,0.065,0.001,0.001,0.011,16,12,2022 row per 1,1,13407000,-9.415662140119611,11118.996964233396
R1234ZEE,R227EA,0.33265,0.66735,329.997,15.871,488.245,0.062,0.002,0.005,0.033,16,12,2022 row per 1,1,15871000,-9.515602255816212,11117.464650995216
R1234ZEE,R227EA,0.33265,0.66735,335.003,18.295,494.675,0.06,0.001,0.004,0.034,14,10,2022 row per 1,1,18295000,-9.614964444843102,11113.029923360446
R1234ZEE,R227EA,0.33265,0.66735,340.007,20.733,501.071,0.057,0.002,0.002,0.017,16,12,2022 row per 1,1,20733000,-9.713378634968217,11109.972430019907
R1234ZEE,R227EA,0.33265,0.66735,345.012,23.173,507.387,0.055,0.001,0.0,0.002,16,12,2022 row per 1,1,23173000,-9.810895357637282,11107.368362301835
R1234ZEE,R227EA,0.33265,0.66735,304.99,1.109,422.591,0.098,0.002,0.002,0.02,12,8,2022 row per 1,1,1109000,-9.005957834319009,555.4925004900649
R1234ZEE,R227EA,0.33265,0.66735,309.994,3.483,431.346,0.091,0.002,0.001,0.016,11,7,2022 row per 1,1,3483000,-9.109681468862025,10892.212060484428
R1234ZEE,R227EA,0.33265,0.66735,314.99,5.86,439.72,0.084,0.001,0.002,0.028,16,12,2022 row per 1,1,5860000,-9.212379016854506,10898.761101234211
